run,batch_size,filters_conv2d_1,maxpooling_1,dropout1,filters_conv2d_2,maxpooling_2,dropout2,filters_conv2d_3,maxpooling_3,dropout3,filters_conv2d_4,maxpooling_4,dropout4,filters_conv2d_5,maxpooling_5,dropout5,filters_conv2d_6,maxpooling_6,dropout6,filters_conv2d_7,maxpooling_7,dropout7,filters_conv2d_8,maxpooling_8,dropout8,dropout_dense,dense_1,dense_2,dense_3,opt,lr,validation_acc,time_taken
0,1,46,2,0.3,107,2,0.4,34,None,0.4,389,None,0.5,29,2,0.2,53,2,0.5,81,2,0.4,76,None,0.3,0.3,272,266,256,Adam,1e-06,0.5830317651789304,9677.206592798233
1,1,289,2,0.3,None,None,0.2,283,2,0.3,414,2,0.4,392,2,0.2,406,2,0.5,390,2,0.3,57,2,0.2,0.2,249,None,512,Adagrad,1e-05,0.48612786489746684,13128.600021839142
2,1,291,None,0.4,203,2,0.4,490,None,0.4,None,None,0.2,419,2,0.3,78,2,0.3,520,2,0.4,419,2,0.2,0.2,238,None,128,Adagrad,1e-05,0.4857257740249296,24103.105011463165
3,1,65,2,0.2,308,None,0.5,21,2,0.2,45,None,0.3,289,2,0.4,None,2,0.5,12,2,0.5,304,None,0.5,0.2,119,499,128,RMSprop,0.0001,0.6180136710896663,9279.401067256927
4,1,502,None,0.4,208,2,0.5,190,None,0.4,25,None,0.4,298,2,0.4,384,None,0.2,201,None,0.2,417,2,0.4,0.4,None,238,128,Adagrad,1e-06,0.3333333333333333,23628.869889736176
5,1,40,2,0.5,397,None,0.4,92,None,0.3,71,None,0.3,208,2,0.2,None,2,0.2,23,None,0.5,195,2,0.5,0.3,112,493,None,RMSprop,1e-05,0.6240450341777242,9789.123871803284
6,1,45,2,0.4,79,2,0.4,48,2,0.3,296,2,0.2,303,2,0.5,519,None,0.2,189,2,0.5,15,2,0.3,0.3,512,262,256,RMSprop,1e-06,0.6135906714917572,9644.292790651321
7,1,34,2,0.3,497,2,0.5,71,2,0.5,188,None,0.4,None,2,0.4,80,None,0.2,491,None,0.5,64,2,0.5,0.3,131,240,None,Adagrad,0.001,0.6075593084036992,9187.057636976242
8,1,514,None,0.4,385,None,0.4,320,2,0.5,502,2,0.5,400,2,0.2,387,2,0.2,None,2,0.5,None,None,0.3,0.4,121,145,128,RMSprop,1e-05,0.573783675110575,48332.320898771286
9,1,83,2,0.2,302,2,0.5,108,None,0.5,385,2,0.5,384,2,0.4,506,None,0.4,95,None,0.3,None,None,0.2,0.2,507,None,128,RMSprop,1e-05,0.7004422999597909,10083.325360774994
10,1,67,None,0.4,505,None,0.2,307,None,0.2,45,None,0.5,495,2,0.4,205,None,0.2,494,2,0.3,514,None,0.2,0.2,None,132,256,Adam,0.0001,0.8266988339364696,42124.2065179348
11,1,511,2,0.3,51,2,0.4,200,2,0.4,506,2,0.5,298,None,0.2,43,2,0.3,519,2,0.3,186,2,0.3,0.3,241,259,256,RMSprop,1e-06,0.733815842380378,12067.288545131683
12,1,17,None,0.3,81,None,0.2,48,2,0.5,None,None,0.2,201,2,0.4,320,2,0.2,None,2,0.4,109,2,0.3,0.2,240,254,128,Adam,0.001,0.3333333333333333,9549.121154546738
13,1,82,None,0.2,None,None,0.5,380,None,0.3,None,None,0.4,None,2,0.2,43,2,0.2,308,2,0.3,98,2,0.2,0.4,None,495,128,Adagrad,0.001,0.5162846803377563,15540.882226467133
14,1,47,2,0.2,517,2,0.3,403,None,0.5,None,2,0.2,None,2,0.5,51,2,0.3,48,None,0.5,None,None,0.3,0.4,243,148,256,Adam,0.0001,0.8693204664254122,10008.360587835312
